"poll_id","location_line_1","location_line_2","Zone"
8133,"ABRAHAM LINCOLN ELEMENTARY SCHOOL","6009 DUNHAM ROAD",3
7470,"ADVENT LUTHERAN CHURCH SOLON","5525 HARPER ROAD",3
8251,"ALBERT BUSHNELL HART ELEMENTARY SCHOOL","3900 EAST 75TH STREET",3
8176,"ALMIRA K-8 SCHOOL","3375 WEST 99TH STREET",4
3150,"AMBLESIDE TOWERS APARTMENTS","2190 AMBLESIDE DRIVE",2
8115,"AMERICAN LEGION POST 572","6483 STATE ROAD",5
8306,"AMERICAN LEGION POST 738","19311 LORAIN ROAD",6
8039,"ANDREW J RICKOFF PRE K-8 SCHOOL","3500 EAST 147TH STREET",3
3390,"ANTON GRDINA ELEMENTARY SCHOOL","2955 EAST 71ST STREET",4
8261,"ARBOR ELEMENTARY SCHOOL","20400 ARBOR AVENUE",1
8109,"ARTEMUS WARD PRE K-8 SCHOOL","4315 WEST 140TH STREET",4
8327,"ASIAN TOWN CENTER","3820 SUPERIOR AVENUE",4
8199,"ATHLETIC WING OF ORANGE HIGH SCHOOL","32000 CHAGRIN BOULEVARD",1
1100,"BAY PRESBYTERIAN CHURCH","25415 LAKE ROAD",6
8254,"BAY UNITED METHODIST CHURCH","29931 LAKE ROAD",6
8013,"BAY VILLAGE MIDDLE SCHOOL","27725 WOLF ROAD",6
8326,"BEACHWOOD COMMUNITY CENTER","25325 FAIRMOUNT BLVD",1
1120,"BEACHWOOD HIGH SCHOOL","25100 FAIRMOUNT BLVD",1
1280,"BEDFORD HIGH SCHOOL","481 NORTHFIELD ROAD",3
1190,"BEDFORD HTS COMMUNITY CENTER","5615 PERKINS ROAD",3
1390,"BENTLEYVILLE VILLAGE HALL","6253 CHAGRIN RIVER ROAD",3
8275,"BEREA BRANCH LIBRARY","7 BEREA COMMONS",6
8296,"BEREA RECREATION CENTER","451 FRONT STREET",6
7615,"BESSIE KINSNER ELEMENTARY SCHOOL","19091 WATERFORD PARKWAY",5
8192,"BETHANY BAPTIST CHURCH","1211 EAST 105TH STREET",2
8112,"BETHEL CHRISTIAN","12901 WEST PLEASANT VALLEY ROAD",5
4960,"BLUESTONE ELEMENTARY SCHOOL","1455 EAST 260TH STREET",1
8280,"BOYS AND GIRLS CLUBS OF CLEVELAND","6114 BROADWAY AVENUE",4
1651,"BRATENAHL COMMUNITY CENTER","10300 BRIGHTON ROAD",2
1540,"BRECKSVILLE COMMUNITY CENTER","1 COMMUNITY DRIVE",5
8206,"BROADVIEW HTS BAPTIST CHURCH","9850 BROADVIEW ROAD",5
1400,"BROADVIEW HTS COMMUNITY BUILDING","9543 BROADVIEW ROAD",5
1460,"BROOK PARK RECREATION CENTER","17400 HOLLAND ROAD",5
1510,"BROOK PARK UNITED METHODIST CHURCH","6220 SMITH ROAD",5
1000,"BROOKLYN HTS COMMUNITY CENTER","225 TUXEDO AVENUE",4
3120,"BROOKLYN HTS UNITED CHURCH OF CHRIST","2005 WEST SCHAAF ROAD",4
1630,"BROOKLYN SENIOR COMMUNITY CENTER","7727 MEMPHIS AVENUE",4
1130,"BRYDEN ELEMENTARY SCHOOL","25501 BRYDEN ROAD",1
8102,"CALEDONIA ELEMENTARY SCHOOL","914 CALEDONIA AVENUE",2
1850,"CANTERBURY ELEMENTARY SCHOOL","2530 CANTERBURY ROAD",2
1670,"CHAGRIN FALLS HIGH SCHOOL","400 EAST WASHINGTON STREET",3
8319,"CHANCE LIGHT EUCLID SCHOOL","1941 SAGAMORE DRIVE",1
8144,"CHARDON HILLS STEM SCHOOL","1750 EAST 234TH STREET",1
3440,"CHARLES A MOONEY MIDDLE SCHOOL","3213 MONTCLAIR AVENUE",4
8125,"CHARLES DICKENS ELEMENTARY SCHOOL","13013 CORLETT AVENUE",3
7110,"CHRISTIAN ASSEMBLY","25595 CHARDON ROAD",1
6320,"CHURCH OF ST CLARENCE","30106 LORAIN ROAD",6
8190,"CHURCH OF ST MARY OF THE ASSUMPTION","15519 HOLMES AVENUE",2
2420,"CITIZENS ACADEMY EAST","12523 WOODSIDE AVENUE",2
7870,"CLAGUE CABIN","1500 CLAGUE ROAD",6
6330,"CLAGUE ROAD UNITED CHURCH OF CHRIST","3650 CLAGUE ROAD",6
3050,"CLARA E WESTROPP MIDDLE SCHOOL","19101 PURITAS AVENUE",6
4191,"CLEVELAND COLLEGE PREPARATORY SCHOOL","4906 FLEET AVENUE",3
8140,"CLEVELAND HTS COMMUNITY CENTER","1 MONTICELLO BOULEVARD",2
8288,"COLLINWOOD RECREATION CENTER","16300 LAKE SHORE BOULEVARD",2
8293,"COMMUNITY ROOM IN OLMSTED TOWNSHIP","7900 FITCH ROAD",6
5940,"CORNERSTONE COMMUNITY CHURCH","1400 LANDER ROAD",1
6660,"CROSS OF HOPE CHURCH","8971 WEST RIDGEWOOD DRIVE",5
3040,"CUDELL RECREATION CENTER","1910 WEST BOULEVARD",4
4700,"CUYAHOGA HTS VILLAGE HALL","4863 EAST 71ST STREET",3
1550,"CUYAHOGA VALLEY CAREER CENTER","8001 BRECKSVILLE ROAD",5
1730,"DEBORAH DELISLE EDUCATIONAL OPTIONS CTR","14780 SUPERIOR ROAD",2
3710,"DENISON ELEMENTARY SCHOOL","3799 WEST 33RD STREET",4
6750,"DENTZLER ELEMENTARY SCHOOL","3600 DENTZLER ROAD",5
8113,"DOLAN SCIENCE CENTER AT JOHN CARROLL","1 JOHN CARROLL BOULEVARD",1
6680,"DONNA SMALLWOOD ACTIVITIES CENTER","7001 WEST RIDGEWOOD DRIVE",5
