"poll_id","status","Latitude","Longitude","location_line_1","location_line_2","city","Precincts"
8133,"A",41.3969120000000004,-81.5732579999999956,"ABRAHAM LINCOLN ELEMENTARY SCHOOL","6009 DUNHAM ROAD","MAPLE HTS","1A 1B 2A 2B"
7470,"A",41.4089340000000021,-81.4661119999999954,"ADVENT LUTHERAN CHURCH SOLON","5525 HARPER ROAD","SOLON","5A 5B 5C"
8251,"A",41.4523579999999967,-81.6361729999999994,"ALBERT BUSHNELL HART ELEMENTARY SCHOOL","3900 EAST 75TH STREET","CLEVELAND","2B 2C 2D"
8176,"A",41.4617709999999988,-81.7517059999999987,"ALMIRA K-8 SCHOOL","3375 WEST 99TH STREET","CLEVELAND","11H 12F 12H 12N"
3150,"A",41.4985599999999977,-81.6048420000000050,"AMBLESIDE TOWERS APARTMENTS","2190 AMBLESIDE DRIVE","CLEVELAND","6K"
8115,"A",41.3877579999999980,-81.7102830000000040,"AMERICAN LEGION POST 572","6483 STATE ROAD","PARMA","3A 3D"
8306,"A",41.4515999999999991,-81.8338999999999999,"AMERICAN LEGION POST 738","19311 LORAIN ROAD","FAIRVIEW PARK","1A 1B 1C"
8039,"A",41.4634789999999995,-81.5794559999999933,"ANDREW J RICKOFF PRE K-8 SCHOOL","3500 EAST 147TH STREET","CLEVELAND","1A 1D 1G 1J 1S"
3390,"A",41.4784819999999996,-81.6389439999999951,"ANTON GRDINA ELEMENTARY SCHOOL","2955 EAST 71ST STREET","CLEVELAND","3K 5K"
8261,"A",41.5910930000000008,-81.5382689999999997,"ARBOR ELEMENTARY SCHOOL","20400 ARBOR AVENUE","EUCLID","2B 4C 4D 8A"
8109,"A",41.4365829999999988,-81.7899960000000021,"ARTEMUS WARD PRE K-8 SCHOOL","4315 WEST 140TH STREET","CLEVELAND","13I 13K"
8327,"A",41.5124119421043929,-81.6634494351962132,"ASIAN TOWN CENTER","3820 SUPERIOR AVENUE","CLEVELAND","8A 8C 8D 8E"
8199,"A",41.4580810000000000,-81.4548450000000059,"ATHLETIC WING OF ORANGE HIGH SCHOOL","32000 CHAGRIN BOULEVARD","PEPPER PIKE","Moreland Hills A B C Pepper Pike C.01 C.02 D"
1100,"A",41.4848330000000018,-81.9002710000000036,"BAY PRESBYTERIAN CHURCH","25415 LAKE ROAD","BAY VILLAGE","1A 1B 1C 2B"
8254,"A",41.4932400000000001,-81.9502659999999992,"BAY UNITED METHODIST CHURCH","29931 LAKE ROAD","BAY VILLAGE","3A 3B 3C"
8013,"A",41.4840739999999997,-81.9263980000000060,"BAY VILLAGE MIDDLE SCHOOL","27725 WOLF ROAD","BAY VILLAGE","2A 2C"
8326,"A",41.4870299999999972,-81.4985899999999930,"BEACHWOOD COMMUNITY CENTER","25325 FAIRMOUNT BLVD","BEACHWOOD","A B G"
1120,"A",41.4843669999999989,-81.5009830000000051,"BEACHWOOD HIGH SCHOOL","25100 FAIRMOUNT BLVD","BEACHWOOD","C F H I"
1280,"A",41.4022720000000035,-81.5262129999999985,"BEDFORD HIGH SCHOOL","481 NORTHFIELD ROAD","BEDFORD","2A 2B"
1190,"A",41.4071479999999994,-81.4972819999999984,"BEDFORD HTS COMMUNITY CENTER","5615 PERKINS ROAD","BEDFORD HTS","All - 1A 1B 1C 2A 2B 3A 3B 4A 4B"
1390,"A",41.4134859999999989,-81.4114059999999995,"BENTLEYVILLE VILLAGE HALL","6253 CHAGRIN RIVER ROAD","BENTLEYVILLE","A"
