"Poll_id","precinct_id","Municipal","Label"
1100,1385,"BAY VILLAGE","1A"
1100,600,"BAY VILLAGE","1B"
1100,307,"BAY VILLAGE","1C"
8013,597,"BAY VILLAGE","2A"
1100,591,"BAY VILLAGE","2B"
8013,659,"BAY VILLAGE","2C"
8254,1362,"BAY VILLAGE","3A"
8254,306,"BAY VILLAGE","3B"
8254,596,"BAY VILLAGE","3C"
1030,598,"BAY VILLAGE","4A"
1030,660,"BAY VILLAGE","4B"
1030,593,"BAY VILLAGE","4C"
8326,601,"BEACHWOOD","A"
8326,602,"BEACHWOOD","B"
1120,1173,"BEACHWOOD","C"
1130,605,"BEACHWOOD","D"
1130,607,"BEACHWOOD","E.01"
1130,1419,"BEACHWOOD","E.02"
1120,930,"BEACHWOOD","F"
8326,603,"BEACHWOOD","G"
1120,1364,"BEACHWOOD","H"
1120,1290,"BEACHWOOD","I"
1130,609,"BEACHWOOD","J"
1240,310,"BEDFORD","1A"
1240,613,"BEDFORD","1B"
1280,932,"BEDFORD","2A"
1280,615,"BEDFORD","2B"
1240,1367,"BEDFORD","3A"
1240,1193,"BEDFORD","3B"
1260,1174,"BEDFORD","4A"
1260,614,"BEDFORD","4B"
1260,871,"BEDFORD","5A"
1260,1144,"BEDFORD","5B"
1240,222,"BEDFORD","6A"
1240,612,"BEDFORD","6B"
1190,1143,"BEDFORD HEIGHTS","1A.01"
1190,645,"BEDFORD HEIGHTS","1A.02"
1190,610,"BEDFORD HEIGHTS","1B"
1190,299,"BEDFORD HEIGHTS","1C"
1190,309,"BEDFORD HEIGHTS","2A.01"
1190,1511,"BEDFORD HEIGHTS","2A.02"
1190,298,"BEDFORD HEIGHTS","2B"
1190,1316,"BEDFORD HEIGHTS","3A"
1190,1142,"BEDFORD HEIGHTS","3B"
1190,589,"BEDFORD HEIGHTS","4A"
1190,661,"BEDFORD HEIGHTS","4B"
8296,924,"BEREA","1A"
8296,878,"BEREA","1B"
8296,227,"BEREA","2A"
8296,226,"BEREA","2B.01"
